identity/LineItemId,identity/TimeInterval,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,bill/BillingEntity,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,pricing/unit,pricing/publicOnDemandRate,pricing/publicOnDemandCost,product/ProductName,product/instanceType,product/vcpu,product/memory,product/operatingSystem,product/region,product/servicecode,resourceMetrics/cpuUtilizationPct,resourceMetrics/memoryUtilizationPct,resourceMetrics/diskUtilizationPct,resourceMetrics/idleHours,resourceMetrics/lastActivityAt,resourceTags/user:Team,resourceTags/user:Environment,resourceTags/user:CostCenter,reservation/ReservationARN,reservation/EffectiveCost,reservation/RecurringFeeForUsage,reservation/AmortizedUpfrontCostForUsage,reservation/UnusedQuantity,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedRecurringFee,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/TotalCommitmentToDate,savingsPlan/RecurringCommitmentForBillingPeriod
2cfbe55cc030436cb7feabe88b542fd6,2026-03-01T00:00:00Z/2026-03-01T01:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.042625,0.043085,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,56.56,55.64,46.51,15,2026-02-27T14:21:34Z,platform,prod,CC100,,,,,,,,,,,,,
ca13c6acbdaa471a8873c58644e4ff9e,2026-03-01T05:00:00Z/2026-03-01T06:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-01T05:00:00Z,2026-03-01T06:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.044559,0.041833,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,34.78,43.39,40.33,19,2026-02-28T22:24:09Z,platform,prod,CC100,,,,,,,,,,,,,
98d866d0e4554bb89c6f60929332b0f7,2026-03-01T10:00:00Z/2026-03-01T11:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-01T10:00:00Z,2026-03-01T11:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.042441,0.042964,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,49.64,52.78,32.1,24,2026-02-26T20:58:48Z,platform,prod,CC100,,,,,,,,,,,,,
c263d86192874678a1d7333e6cbf37eb,2026-03-01T15:00:00Z/2026-03-01T16:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-01T15:00:00Z,2026-03-01T16:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.042888,0.045542,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,35.52,51.45,28.46,21,2026-02-27T11:30:46Z,platform,prod,CC100,,,,,,,,,,,,,
8aeb7a3d9e3c40558fbd5ec60a7262cc,2026-03-01T20:00:00Z/2026-03-01T21:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-01T20:00:00Z,2026-03-01T21:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.044574,0.044128,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,41.31,52.68,42.8,5,2026-02-27T20:25:18Z,platform,prod,CC100,,,,,,,,,,,,,
3a0c45af38294e4dbaefbf7e84223b20,2026-03-02T01:00:00Z/2026-03-02T02:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-02T01:00:00Z,2026-03-02T02:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.045333,0.043377,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,47.93,51.03,35.7,11,2026-02-28T03:57:57Z,platform,prod,CC100,,,,,,,,,,,,,
46022de6a4ed4eb7bc70a7f114dbcebb,2026-03-02T06:00:00Z/2026-03-02T07:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-02T06:00:00Z,2026-03-02T07:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.045377,0.045811,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,53.79,47.21,38.43,20,2026-02-28T20:00:14Z,platform,prod,CC100,,,,,,,,,,,,,
c5314ec7169242d09322f1ecaf9dabcc,2026-03-02T11:00:00Z/2026-03-02T12:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-02T11:00:00Z,2026-03-02T12:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.044029,0.045504,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,39.6,43.56,32.31,5,2026-03-01T21:55:34Z,platform,prod,CC100,,,,,,,,,,,,,
d1e7e232393f4516a42e708600f10293,2026-03-02T16:00:00Z/2026-03-02T17:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-02T16:00:00Z,2026-03-02T17:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.045136,0.045801,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,57.5,53.33,35.65,18,2026-03-02T07:38:11Z,platform,prod,CC100,,,,,,,,,,,,,
7d69976e10494cc5b0e4608fed64581e,2026-03-02T21:00:00Z/2026-03-02T22:00:00Z,112233445566,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,AWS,112233445566,Usage,2026-03-02T21:00:00Z,2026-03-02T22:00:00Z,AmazonEC2,USEA-BoxUsage:t3.medium,RunInstances,us-east-1b,i-06a65ca12d724448c,1.0,2.0,2.0,0.04368,0.04368,0.045162,0.044409,Hrs,0.04368,0.04368,Amazon Elastic Compute Cloud,t3.medium,2,4 GiB,Linux,us-east-1,AmazonEC2,56.69,44.3,43.92,4,2026-02-28T13:51:29Z,platform,prod,CC100,,,,,,,,,,,,,
